index,nama,vote_average,vote_count,type,htm_weekday,htm_weekend,latitude,longitude,description
41,Jogja National Museum,4.6,5041,"Museum, Budaya dan Sejarah",,,-7.8001175,110.3534164,"Bagi para pecinta kesenian, tentu tidak akan pernah melewatkan yang namanya tempat atau gedung yang menyimpan berbagai hasil kesenian. Salah satu gedung kesenian di kawasan Yogyakarta yang cukup terkenal adalah Jogja National Museum. Letaknya berada di Jalan Amri Yahya Yogyakarta ini. Museum ini sendiri sudah berdiri cukup lama dan menyajikan berbagai karya seni menarik nanapik. Secara singkat museum ini mempertontonkan aneka karya seni kontemporer yang unik dan berkualitas tinggi. Bagi Anda yang sangat suka atau sedang menempuh studi seputar karya seni kontemporer, maka keputusan untuk berkunjung ke tempat ini sangatlah tepat. Anda akan disambut dengan karya-karya seni rupa dari berbagai seniman dan juga dengan kreativitas, serta keunikannya masing-masing."
42,Taman Pintar Yogyakarta,4.5,4846,Buatan,20000.0,20000.0,-7.799757357,110.3678697,"Taman Pintar Yogyakarta adalah wahana wisata yang terdapat di pusat Kota Yogyakarta, tepatnya di Jalan Panembahan Senopati No. 1-3, Yogyakarta, di kawasan Benteng Vredeburg. Taman ini memadukan tempat wisata rekreasi maupun edukasi dalam satu lokasi. tempat rekreasi ini sangat baik untuk anak-anak dalam masa perkembangan. taman ini, khususnya pada wahana pendidikan anak usia dini dilengkapi dengan teknologi interaktif digital serta pemetaan video yang akan memacu imajinasi anak serta ketertarikan mereka terhadap teknologi"
43,Pantai Indrayanti,4.4,4793,Pantai,12000.0,12000.0,-8.1508415,110.6129852,"Pantai kecil berpasir putih yang dikelilingi pepohonan dan bebatuan besar, serta beragam restoran & pertokoan"
44,Mangrove Jembatan Api-Api (MJAA),4.3,4425,Alam,8000.0,8000.0,-7.89485,110.0253631,Mangrove Jembatan Api-api di Kulon Progo ini memadukan konsep alam dan spot instagenik. Anda bisa bersantai sambil foto-foto di sini.
45,Embung Nglanggeran,4.5,4366,Buatan,10000.0,10000.0,-7.8471399,110.5468589,"Embung Nglanggeran merupakan waduk kecil tempat menampung air yang memiliki luas sekitar 0,34 hektar. Air embung ini digunakan untuk sarana pengairan di area perkebunan sekitar. Selain untuk pengairan, telaga ini juga dimanfaatkan sebagai obyek wisata. Itu karena keindahan panorama yang dapat disaksikan dari embung berketinggian sekitar 495 meter di atas permukaan laut ini. Selain embung (telaga tampungan air), pemandangan gunung api purba menjadi pesona yang ditawarkan oleh objek wisata tersebut."
46,Bukit Wisata Pulepayung,4.5,4287,"Alam, Buatan",10000.0,10000.0,-7.8001106,110.1238954,"Pule Payung Kulon Progo Yogyakarta merupakan wisata alam dengan spot foto instagramable. Letaknya tidak jauh dari Kalibiru yaitu terletak di Kulon Progo, Yogyakarta. Tempat wisata yang satu ini sangat direkomendasi untuk anak muda yang ingin mendapatkan foto-foto unik karena memiliki banyak spot foto menarik. Daya tarik yang pertama dari Pule Payung Yogyakarta adalah objek wisata yang menyajikan pesona alam pegunungan. Sehingga, orang-orang menyebutnya dengan Bukit Wisata. Pule Payung Yogyakarta adalah objek wisata yang bukan hanya sekedar menawarkan keindahan, serta kenyamanan dalam berwisatanya saja. Namun mampu memberikan rasa aman bagi setiap pengunjungnya. Daya tarik Pule Payung Yogyakarta yang paling populer adalah onjek wisata yang menyajikan beragam spot keren yang instagramable."
47,Seribu Batu Songgo Langit,4.6,4223,"Alam, Buatan",2500.0,2500.0,-7.931099,110.429738,"Disekitar hutan pinus ternyata masih banyak tempat wisata yang wajib dikunjungi, salah satunya adalah Seribu Batu Songgo Langit. Namanya terdengar asing, namun apabila disebut rumah Hobbit, tentunya sahabat akan segera tahu tempat wisata ini. Ya, Seribu Batu Songgo Langit adalah lokasi dimana terdapat rumah Hobbit yang ada di kawasan Mangunan. Rumah Hobbit yang dimaksud berbeda dengan yang ada di New Zealand pastinya. Rumah Hobbit disini merupakan tiruan dari yang terdapat di film Hobbit atau yang ada di New Zealand. Songgo langit berarti penyangga langit, hal ini dikarenakan di Seribu Baru Songgo Langit terdapat bukit yang seakan akan merupakan tiang dari langit .Seribu Batu Songgo Langit merupakan tempat wisata di kawasan Dlingo yang menawarkan berbagai macam atraksi wisata, namun kebanyakan adalah spot foto. Spot foto di Seribu Batu hampir semuanya anti mainstream."
48,Jurang Tembelan Kanigoro,4.5,3867,"Alam, Buatan",0.0,0.0,-7.9401065,110.4300062,"Objek wisata Bantul ini ialah wisata alam spot foto terbaru yang sekarang menjadi hits di kalangan remaja kekinian. Sebab jurang Tembelan Mangunan Jogja memiliki deck view atau gardu pandangan terlihat cukup unik mirip seperti kapal. Tak heran pada akhirnya banyak wisatawan menyebutnya sebagai kapal titanic diatas awan. Sebelum seperti sekarang, sebenarnya jurang Tembelan Kanigoro Bantul tergolong masih sepi pengunjung. Lantaran baru saja dikembangkan oleh pihak pengelola wisata. Namun spot foto corner berupa gardu pandangan unik dan keindahan dimilikinya membuat pengunjung mulai ramai menyemarakkan. Sehingga tak lagi wisatawan lokal saja berbondong-bondong kesana, wisatawan luar kota pun dibuat penasaran dan menyempatkan waktu berswafoto. Di wisata alam Jogja ini pengunjung diperbolehkan bebas melakukan sesi pemotretan atau pun hanya sekedar berselfie ria. Tak hanya itu saja, pengunjung pun juga dapat menyaksikan lanskap matahari terbenam ketika menjelang sore hari dan juga kala matahari terbit yang diiringi pula keindahan tebal nya kabut putih khas pegunungan Mangunan."
49,Malioboro,4.7,3752,"Buatan, Budaya dan Sejarah",3000.0,3000.0,-7.7982487,110.3652793,"Malioboro adalah jantung Kota Jogja. Meskipun terkenal sebagai surga belanja cendera mata dan barang kerajinan, ternyata tak sedikit wisatawan dan orang lokal mendatangi Malioboro pagi-pagi sekali untuk berolahraga atau sekedar menikmati udara segar sambil mencari sarapan"
50,Blue Lagoon Jogja,4.3,3585,"Alam, Wisata Air",3000.0,3000.0,-7.7044358,110.45026,"Blue Lagoon Jogja merupakan salah satu obyek wisata yang di jadikan tempat pemandian sumber mata air ini yang muncul dari permukaan tanah di dalam kolam. Apabila Anda melihat ke dalam kolam akan terlihat gelembung-gelembung kecil yang muncul dari permukaan tanah. Hal itu menunjukkan bahwa terdapat air yang terus menerus muncul dari permukaan tanah tersebut. Meskipun Blue Lagoon di Jogja ini sudah lama namun tempat wisata ini mulai tenar dipertengahan tahun 2014. Pemandian Blue Lagoon ini terletak di Desa Dalem, Widodomartani, Ngemplak, Sleman, Yogyakarta"
51,Bundaran UGM,4.7,3535,Buatan,0.0,0.0,-7.7760052,110.3760616,Bundaran UGM merupakan gerbang masuk utama Universitas Gadjah Mada.
52,Pantai Pok Tunggal,4.5,3467,Pantai,10000.0,10000.0,-8.1554468,110.6217582,"Pantai Pok Tunggal adalah salah satu pantai populer di Gunungkidul. Pantai ini terletak di Desa Tepus, Kecamatan Tepus. Posisinya sejajar dan tak jauh dari Pantai Indrayanti dan Pantai Watulawang yang tak kalah populer. Nama Pok Tunggal berasal dari keberadaan pohon duras di kawasan pantai tersebut. Pohon jenis ini dikenal sangat sulit tumbuh di daerah pesisir. Karena hanya satu-satunya, pohon ini kemudian menjadi semacam maskot bagi pantai ini. Yang menjadi ciri khas pantai ini adalah bentuknya yang sempit dan memanjang. Di samping itu, lokasinya yang dikelilingi bukit kapur dan karang menjadikan Pok Tunggal tampak lebih eksotis. Pantai ini cocok sebagai destinasi berbagai macam kegiatan rekreasi."
53,Pantai Ngobaran,4.5,3288,"Pantai, Budaya dan Sejarah",5000.0,5000.0,-8.1191333,110.5050409,Keunikan yang menjadi ciri khas Pantai Ngobaran adalah adanya Pura dan Arca. Keberadaannya membuat sekilas Pantai Ngobaran memiliki suasana khas yang mirip dengan Pulau Bali. Satu keunikan yang kemungkinan besar tersembunyi dari kebanyakan wisatawan adalah adanya sumber air tawar di tepi laut. Namun aliran air tawar hanya bisa ditemukan ketika air laut sedang surut. Satu sajian spesial yang bisa didapatkan di Pantai Ngobaran adalah landak laut atau bulu babi. Kuliner ini bisa dipesan di warung-warung yang ada di sekitar pantai. Bagian landak laut yang dimakan adalah dagingnya.
54,Bukit Panguk Kediwung,4.5,3245,Alam,3000.0,3000.0,-7.9583695,110.4407622,"Bukit Panguk Kediwung berlokasi di Kediwung, Mangunan, Dlingo, Bantul, Yogyakarta. Jangan khawatir untuk tersesat karena di sepanjang jalan menuju ke lokasi kita akan melihat beberapa papan petunjuk. Kurang lebih berjarak 20 km dari pusat Kota Yogyakarta. Dari pusat Kota Yogyakarta anda bisa bergerak menuju ke selatan tepatnya ke arah Jalan Imogiri Timur, ikuti jalan hingga menemukan Pasar Imogiri, lalu belok kiri dan lanjutkan perjalanan menuju ke arah Dlingo, dari sana anda akan mulai melihat petunjuk jalan menuju Bukit Panguk Kediwung. Akses jalan menuju Bukit Panguk Kediwung sudah diaspal halus hanya saja konturnya sedikit naik turun namun masih dalam kategori aman. Sangat disarankan untuk menggunakan kendaraan pribadi karena akses ke sini menggunakan kendaraan umum cukup sulit. Salah satu yang menjadi magnet bagi pengunjung untuk datang adalah keindahan pemandangan alamnya. Pengelola sudah menyediakan beberapa gardu pandang terbuat dari kayu dan bambu yang sengaja dibangun menjorok ke arah bibir tebing sehingga pengunjung bisa melihat dengan jelas pemandangan di bawah Bukit Panguk Kediwung yang eksotis. Dari atas kita bisa melihat aliran panjang Sungai Oya yang membelah bukita hijau yang menghampar hijau. Gardu pandang ini bukan gardu pandang biasa karena memiliki bentuk-bentuk yang unik karena sekaligus jadi spot foto. Ada yang berbentuk jembatan memanjang, bentuk sayap kupu-kupu, bentuk kereta kuda, dan masih banyak lagi. Gardu pandang dengan bentuk biasa juga tersedia. Gardu pandang di Puncak Bukit Penguk Kediwung ini terbagi dalam dua bagian, yaitu bagian timur dan selatan. Gardu pandang bagian timur sangat cocok untuk menikmati matahari terbit di pagi hari sedangkan gardu pandang sebelah selatan menghadap ke pegunungan yang berjajar. Kedua spot sama-sama menyuguhkan pemandangan yang luar biasa dan tidak boleh anda lewatkan ketika liburan di Yogyakarta."
55,Kebun Teh Nglinggo,4.5,3199,Agrowisata,10000.0,10000.0,-7.647054,110.1414699,Wisata Kebun Teh Nglinggo adalah satu-satunya kebun teh yang berada di Yogyakarta. Sebenarnya kebun teh ini merupakan tempat mata pencaharian penduduk di sekitar Pagerhajo. Kemudian warga mempunyai ide untuk menjadikannya sebagai tempat wisata. Dengan pesona alamnya Kebun Teh Nglinggo menjadi objek wisata yang cukup terkenal di Kulon Progo. 
56,Pantai Nglambor,4.4,3192,Pantai,10000.0,10000.0,-8.1827028,110.6792399,"Pantai Nglambor adalah sebuah pantai eksotis yang terletak di Kelurahan Purwodadi, Kecamatan Tepus, Gunung Kidul, Daerah Istimewa Yogyakarta. Lokasinya persis di sebelah barat dari Pantai Siung dan sebelah timur dari Pantai Jogan. Jaraknya kurang lebih 74 km dari pusat kota Jogja, pantai ini menawarkan panorama pantai yang indah."
57,Air Terjun Kedung Pedut,4.5,3164,"Alam, Wisata Air",3000.0,3000.0,-7.7699875,110.1210707,"Air Terjun Kedung Pedut atau biasa disebut Curug Kedung Pedut berasal dari istilah bahasa Jawa. Curug yang berarti air terjun, kedung berarti kubangan atau kolam, dan pedut berarti kabut. Air Terjun Kedung Pedut merupakan salah satu wisata alam yang di Kulonprogo yang dikenal karena keindahan warna airnya."
58,Pantai Ngandong,4.5,3151,Pantai,10000.0,10000.0,-8.146423,110.6061408,"Pantai ini memiliki garis pantai yang panjang dengan pasir putih yang bersih dan lembut. Ada bebatuan di pinggir pantai yang bisa dimanfaatkan oleh pengunjung untuk bermain air. Permainan air disini selain berenang, juga tersedia fasilitas kano. Pemandangan unik yang dapat dilihat di pantai ini, adalah adanya pulau yang berada di tengah laut. Saat sedang surut, pulau itu bisa dicapai dengan jalan kaki."
59,Pantai Sepanjang,4.4,3130,Pantai,10000.0,10000.0,-8.1366656,110.5659962,"Siapa sangka, ternyata Yogyakarta pun punya “Kuta”-nya sendiri Ialah Pantai Sepanjang, salah satu pantai di Kabuaten Gunungkidul. Daerah yang satu ini memang memiliki koleksi pantai cantik yang tak terhitung jumlahnya. Bahkan pantai ini digadang-gadang sebagai ‘Kuta Tempo Doeloe‘. "
60,Candi Sewu,4.6,2968,Budaya dan Sejarah,10000.0,10000.0,-7.7439217,110.4929095,"Candi Sewu adalah candi Buddha yang dibangun pada abad ke-8 Masehi yang berjarak hanya delapan ratus meter di sebelah utara Candi Prambanan. Candi Sewu merupakan kompleks candi Buddha terbesar kedua setelah Candi Borobudur di Jawa Tengah. Candi Sewu berusia lebih tua daripada Candi Borobudur dan Prambanan. Meskipun aslinya memiliki 249 candi, oleh masyarakat setempat candi ini dinamakan ""Sewu"" yang berarti seribu dalam bahasa Jawa. Penamaan ini berdasarkan kisah legenda Loro Jonggrang."
61,Gunung Api Purba Nglanggeran,4.6,2807,Alam,15000.0,15000.0,-7.8427585,110.5379165,"Kawasan Ekosistem Gunung Purba Nglanggeran atau yang biasa disebut Gunung Nglanggeran ini merupakan kawasan yang litologinya disusun oleh material vulkanik tua, berbentuk gunung batu raksasa yang membentang sepanjang kurang lebih 800 meter dengan tinggi mencapai 300 meter. di Kawasan Gunung Api Purba Nglanggeran juga dijumpai fauna dan flora langka, seperti tanaman tremas (tanaman obat yang hanya hidup dikawasan ekowisata Gunung Api Purba), kera ekor panjang."
62,Galaxy Waterpark,4.3,2761,Wisata Air,25000.0,35000.0,-7.8159633,110.4136917,"Galaxy Waterpark cocok sebagai opsi untuk berlibur bersama keluarga, apalagi untuk anak-anak. Disini disediakan bermacam wahana seperti kolam arus, flying fox, wahana water slide, kolam olimpic yang didesain dengan standar internasional untuk para atlet dewasa renang."
63,Pemecah Ombak Pantai Glagah,4.4,2683,"Buatan, Alam",5000.0,5000.0,-7.9190028,110.0775951,Pemecah gelombang merupakan atraksi wisata utama yang ada di Pantai Glagah. Banyak pengunjung datang ke pantai ini untuk melihat secara langsung seperti apa pemecah gelombang itu. Ada dua pemecah gelombang di kawasan Pantai Glagah ini. Pemecah gelombang yang banyak dikunjungi wisatawan ada di sisi barat yang satu bagian dengan kawasan pantai pasir Glagah. Pemecah gelombang sisi timur bisa dijangkau melalui Dermaga Adikarta.
64,Pantai Timang,4.5,2656,Pantai,5000.0,5000.0,-8.1759266,110.6624196,"Begitu memasuki wilayah pantai, pengunjung akan disambut dengan indahnya perpaduan warna alam. Air di bibir pantai yang berwarna hijau toska, dan semakin berwarna biru ke tengah laut. Tidak perlu ditanya lagi, tentu airnya begitu jernih dan bersih. Selain itu, terdapat pula perbukitan yang ditumbuhi banyak pohon, begitu menyejukkan dipandang mata. Batu – batu karang yang besar membentang dengan gagahnya. Siap menghadang besarnya ombak yang menghantam pantai. Yang paling khas dari pantai ini adalah keberadaan gondola untuk menyeberang menuju Pulau Timang. Gondola ini membentang dari Pantai menuju ke Pulau Timang yang berupa batu karang. Gondola ini terbuat dari kayu sederhana, dengan tali tambang yang ditarik manual. Wahana lain yang juga memacu adrenalin adalah Jembatan Gantung. Jembatan ini juga menghubungkan area pinggir pantai dengan Pulau Timang. Dimana jembatan ini menjadi alternatif bagi pengunjung yang ingin menyeberang selain menggunakan gondola.

"
65,Museum HM Soeharto,4.4,2628,"Museum, Budaya dan Sejarah",,,-7.7913177,110.2805284,"Museum Soeharto adalah adalah bangunan berBudaya dan Sejarah berbentuk museum yang menyimpan memoar dan peninggalan-peninggalan Jenderal Besar TNI Soeharto yang diresmikan pada tahun 2013. Museum ini berdiri di atas tanah milik Soeharto yang terletak di Dusun Kemusuk Lor, Desa Argomulyo, Kecamatan Sedayu, Kabupaten Bantul, Daerah Istimewa Yogyakarta. Di dalam memorial ini, terdapat sebuah bangunan joglo besar di pusat lokasi, rumah kakek buyut Pak Harto yaitu Notosudiro. Terdapat juga barang-barang peninggalan, diorama Budaya dan Sejarah kehidupan pak Harto,  dokumen arsip nasional, video, dan beberapa foto yang berkaitan dengan Budaya dan Sejarah Pak Harto. "
66,Bukit Lintang Sewu,4.5,2600,Alam,3000.0,3000.0,-7.9157997,110.4366436,"Bukit Lintang Sewu merupakan salah satu tempat wisata alam yang berhawa sejuk di Yogyakarta. Keunggulan lainnya adalah lingkungannya menawarkan panorama yang indah. Dari bukit ini dapat melihat pemandangan lampu kota atau melihat bintang di malam hari. Bukit Lintang Sewu juga punya banyak fasilitas liburan, seperti area glamping, camping, outbound dan hutan kayu putih"
67,Grand Puri Waterpark,4.2,2440,Wisata Air,35000.0,35000.0,-7.8777662,110.352078,"Grand Puri Waterpark Yogya berlokasi di daerah Bantul, salah satu waterpark terbesar di Kabupaten Bantul. Tempat rekreasi keluarga yang menyediakan atraksi dan wahana seru dan bisa dimainkan baik untuk anak-anak, maupun orang dewasa. Terdapat kolam seni olympic, kolam arus, kolam penerima, dan kolam batita. Disana juga terdapat berbagai fasilitas foodcourt, freewifi, gazebo, atm, dan masih banyak lagi."
68,Balong Waterpark,4.2,2376,Wisata Air,15000.0,20000.0,-7.8434924,110.4103899,"“Full of Splash and Fun”, itulah slogan yang diusung oleh Balong Waterpark. Di dalam waterpark ini akan kita temukan dua buah kolam utama yang diperuntukkan untuk balita dan orang dewasa. Selain itu, berbagai wahana permainan semacam ember tumbah, water coaster, hingga family slide juga tersedia untuk dinikmati. Suasana di dalam lokasi cukup sejuk dan bersih. Berbagai fasilitas umum juga sudah disiapkan untuk memberi kenyamanan bagi para pengunjung. Waterpark ini sangat recomended sebagai tujuan rekreasi akhir pekan bersama keluarga. Anak-anak bisa bermain sepuasnya, orang dewasa juga bisa bersantai dengan nyamannya. "
69,Kids Fun Park (Pusat),4.4,2314,Buatan,65500.0,,-7.827611573,110.4413491,Kids Fun merupakan wahana atau tempat bermain untuk anak-anak
70,Pantai Kesirat,4.6,2296,Pantai,5000.0,5000.0,-8.0961535,110.4350483,"Pantai Kesirat dapat dijadikan area untuk perkemahan. Letaknya yang jauh dari keramaian bisa membuat pengunjung jadi lebih nyaman dan menikmati momen kebersamaan ketika berlibur dengan keluarga, teman, atau kerabat. Disana fasilitas warung makan dan kamar mandi tetap beroperasi selama 24 jam.Yang menjadi keunggulan dari Pantai Kesirat adalah letaknya yang dikelilingi tebing. Tebing ini merupakan tempat favorit untuk memancing ikan atau sekadar duduk-duduk menikmati hembusan angin di pantai."
71,Stonehenge Merapi,4.3,2282,Buatan,5000.0,5000.0,-7.6022481,110.4479012,"Wisata baru ini baru ngehits di Jogja tepatnya di Kepuharjo, Cangkringan, Sleman kamu bakal menemui replika Stonehenge, peninggalan jaman praBudaya dan Sejarah berupa susunan batu-batu besar yang tidak beraturan yang aslinya terletak di Inggris. Bentuk dan susunan batu di Stonehenge Cangkringan mirip dengan aslinya, lengkap dengan alas rumput hijaunya. Masuk dan duduk di bagian dalam lingkaran tersebut akan jadi pengalaman yang berbeda."
72,CitraGrand Mutiara Waterpark Yogyakarta,4.3,2260,Wisata Air,50000.0,80000.0,-7.8137343,110.2831838,"Waterpark ini menjadi salah satu objek wisata air favorit untuk keluarga. Mengusung tema Treasure Adventure, CitraGrand Mutiara Waterpark Yogya menghadirkan berbagai wahana permainan air yang akan membawa pengunjung seolah berpetualang bersama bajak laut."
73,Wisata Telaga Potorono,4.4,2248,"Buatan, Wisata Air",,,-7.8300074,110.4204773,"Selain diperuntukkan sebagai telaga, telaga desa Potorono juga dimanfaatkan sebagai tempat wisata alternatif yang menarik. Telaga desa Potorono menawarkan pemandangan yang indah dengan udara yang sejuk. Di sekitar telaga terdapat enam (6) buah gazebo/gubuk yang dapat dimanfaatkan sebagai tempat berteduh."
74,Desa Wisata Pulesari,4.4,2245,Desa Wisata,50000.0,50000.0,-7.6258806,110.371698,"Suasana khas pedesaan akan segera menyambut para wisatawan saat menjejakan kaki pertama kali di desa yang masuk dalam kabupaten Sleman ini. Sungai berair jernih, perkebunan salak yang tertata rapi, dan sapaan ramah dari warga menjadi pemandangan lumrah di desa ini."
75,Wisata Alam Watu Amben,4.4,2235,"Alam, Buatan",,,-7.8576729,110.4727388,"Watu Amben Jogja merupakan sebuah wisata alam dimana kamu bisa menikmati lampu kota Yogyakarta di malam hari. Salah satu wisata alam unik dari Jogja adalah Watu Amben Jogja. Objek wisata ini tidak hanya memiliki unsur alam namun juga unsur buatan. Objek wisata ini termasuk ke dalam komplek perbukitan Bukit Bintang Gunung Kidul. Dari atas bukit ini, kamu bisa melihat indahnya pemandangan alam dan pemandangan kota Jogja. Apalagi kalau dinikmati pada malam hari, kamu bisa melihat kelap-kelip lampu Kota Jogja. Tempat ini pun menjadi pilihan tempat nongkrong asyk bagi para masyarakat Jogja khususnya para anak muda. Ya, karena selain menikmati pemandangan, kamu juga bisa menikmati hidangan lezat khas Jogja."
76,Candi Sojiwan,4.5,2159,Budaya dan Sejarah,5000.0,5000.0,-7.7603952,110.4962014,"Candi Sojiwan memiliki keunikan. Keunikan ini berasal dari beberapa panel relief yang bercerita tentang cerita-cerita binatang. Jika dipahami lebih dalam cerita-cerita ini menyampaikan pesan-pesan moral yang tidak lekang oleh waktu. Pesan-pesan moral ini juga sangat berguna untuk menjalani kehidupan sehari-hari. Setelah dilakukan penelitian, terdapat beberapa temuan menarik. Salah satunya adalah parit keliling. Parit keliling ini sebagian berada di pemukiman warga. Di dalam parit kelagian ditemukan arca, pondasi candi, struktur pagar, batu candi (lepas), struktur dan batu candi di sekitar permukiman warga yang berada di sebelah selatan candi Induk. Candi Sojiwan berada di kawasan Siwa Plateu yang banyak terdapat candi baik candi berlatar belakang agama hindu maupun budha. Hal ini menunjukkan bahwa sejak dulu nenek moyang kita telah hidup harmonis dan sangat toleran. Nilai-nilai toleransi ini sangat dibutuhkan masyarakat Indonesia sekarang ini mengingat kita berbeda-beda keyakinan."
77,Goa Selarong,4.3,2116,Alam,6000.0,6000.0,-7.860965268,110.3145237,"Gua Selarong atau bisa disebut Gua Diponegoro, adalah gua berBudaya dan Sejarah sekaligus tempat wisata alam dan religius. Goa Selarong merupakan sebuah goa kecil yang berada di Dusun Kembangputihan, Kecamatan Pajangan, Bantul. Lokasinya cukup mudah dijangkau karena tak jauh dari Kota Bantul, DIY. Di Goa Selarong, terdapat dua goa, yaitu Goa Kakung dan Goa P Sekilas, tak ada tampilan yang menarik secara visual dari kedua goa tersebut. Namun, goa itu menyimpan peristiwa besar yang menjadi bagian dari Budaya dan Sejarah bangsa Indonesia. Terutama kisah kepahlawanan Pangeran Diponegoro yang menjadi tokoh besar saat meletusnya Perang Jawa pada 1825-1830.utri."
78,Waduk Sermo,4.5,2057,"Buatan, Wisata Air",5000.0,5000.0,-7.821219329,110.1149803,"Waduk Sermo merupakan sebuah waduk yang berada di Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta, waduk seluas 157 hektar ini dibangun mulai pada tahun 1994 dan diresmikan oleh Presiden Indonesia ke-2 saat itu yaitu Presiden Soeharto pada 20 November 1996. Waduk ini dibangun dengan membendung Kali Ngrancah di Desa Hargowilis Kecamatan Kokap, adanya pembangunan waduk ini juga mengahruskan pemerintah melakukan program transmigrasi, sebanyak 100 kk di transmigrasikan ke Tak Toi Bengkulu. Ada banyak hal yang bisa sobat semua lakukan di tempat ini, yang pertama yaitu berfoto di spot foto menarik, terdapat berbagai macam spot foto menarik yang bisa dimanfaatkan pengunjung di tempat ini. Selanjutnya bagi sobat semua yang hobi memancing ikan tak ada salahnya mencoba memburu ikan “Setan Merah” yaitu ikan predator yang ada di waduk ini, Ikan Merah merupakan primadona dikalangan pemancing di Waduk Sermo ini."
79,Pantai Glagah,4.4,2004,Pantai,6000.0,6000.0,-7.9119427,110.0647339,"Pantai Glagah Indah adalah salah satu pantai yang menjadi objek wisata di provinsi Daerah Istimewa Yogyakarta. Pantai Glagah Indah merupakan salah satu pantai di Yogyakarta dengan hamparan pasir yang berwarna hitam dan banyak mengandung pasir besi. Pantai Glagah Indah memiliki akses yang baik. Pantai Glagah dikenal sebagai salah satu pantai di Jogja yang memiliki ombak cukup besar. Oleh sebab itu, di kawasan pantai pun dibangun tetrapod."
80,Grojogan Watu Purbo Bangunrejo,4.5,1927,Alam,5000.0,5000.0,-7.6340196,110.3383881,"Tempat ini menjanjikan spot foto selfi yang begitu menarik dan aliran sungai serta taman bunga yang indah. Pun, wisatawan dapat menikmati kuliner pedesaan yang menggugah selera dengan dilatarbelakangi birunya Gunung Merapi. Destinasi yang masih terhitung baru ini sebenarnya adalah aliran sungai Kali Krasak yang berhulu di Gunung Merapi. Aliranya terbentuk dari 6 buah sabo dam yang tersusun bertingkat dengan ketinggian 3 sampai 7 meter sehingga tercipta air terjun atau dalam bahasa Jawa disebut grojogan. "
81,Kebun Buah Mangunan,4.5,1887,Agrowisata,5000.0,6000.0,-7.939896,110.424336,"Kebun Buah Mangunan adalah salah satu tempat wisata di kawasan Mangunan, Dlingo, Kabupaten Bantul, Yogyakarta. Kawasan wisata yang terkenal sebagai salah satu spot Negeri di Atas Awan ini terletak sekitar 25 kilometer (km) dari kota Yogyakarta. Dengan waktu tempuh kurang lebih satu jam perjalanan, Kebun Buah Mangunan bisa jadi alternatif tempat wisata bersama keluarga di akhir pekan."
82,Pantai Ngrenehan,4.4,1876,Pantai,5000.0,5000.0,-8.1211475,110.5142337,"Pantai Ngrenehan merupakan pantai nelayan. Terletak di desa Kanigoro Kecamatan Saptosari kurang lebih 30 km di sebelah selatan kota Wonosari. Suatu pantai berupa teluk yang dikelilingi hamparan perbukitan kapur dan memiliki panorama yang sangat memukau dengan deburan ombak menerpa pasir putih. Pantai ini diapit oleh dua bukit karang yang cukup besar dan menjorok ke laut. Di pantai ini, pengunjung dapat mengamati langsung kegiatan nelayan tradisional. Juga bisa menikmati ikan segar yang baru saja diangkat dari kedalaman laut selatan."
83,Tirtonirmolo Water Park Galuh,4.2,1857,Wisata Air,30000.0,30000.0,-7.748672,110.501128,"Tirtonirmolo Water Park Galuh merupakan gabungan dari hotel galuh yang berada di sisi selatan Tirtonirmolo Water Park Galuh. Wisatawan dapat menikmati berbagai wahana di sekitar Tirtonirmolo Water Park. Bukan hanya air saja disini juga terdapat 12 kolam yaitu kolam renang dewasa, kolam renang seluncur, anak-anak, mandi bola, kolam keluarga, kolam arus, kolam ember tumpah, kolam renang songsong gora, kolam renang laba-laba, kuda laut, dan kolam air mancur. Wisata ini cocok didatangi bersama keluarga maupun teman."
84,Affandi Museum,4.6,1848,"Budaya dan Sejarah, Museum",30000.0,30000.0,-7.782713,110.396397,"Museum Affandi merupakan salah satu museum seni di Daerah Istimewa Yogyakarta, Indonesia. Museum yang berada di tepi Sungai Gajah Wong ini menyimpan berbagai macam lukisan karya Affandi. Selain itu, museum ini juga menyimpan banyak benda peninggalan Affandi lainnya seperti mobil, sepeda onthel dan masih banyak lagi. Ada lebih dari 300 lukisan termasuk beberapa potret diri dan karya dari seniman terkenal lainnya seperti Sudjojono, Hendra Gunawan, dan Barli. Jangan lupa untuk mengambil foto rumah Affandi yang ikonis dengan atap yang berbentuk pelepah pisang."
